Year,Issue,Keyword,Frequency
2024,2,Sentiment analysis,6
2024,2,Social networking (online),1
2024,2,Data mining,4
2024,2,Blogs,1
2024,2,Feature extraction,13
2024,2,Deep learning,1
2024,2,Convolutional neural networks,2
2024,2,Computational modeling,6
2024,2,Labeling,2
2024,2,Adaptation models,2
2024,2,Brain modeling,5
2024,2,Electroencephalography,3
2024,2,Transfer learning,2
2024,2,Emotion recognition,10
2024,2,Vehicles,1
2024,2,Artificial intelligence,2
2024,2,Roads,1
2024,2,Signal detection,1
2024,2,Automobiles,1
2024,2,Psychology,2
2024,2,Multitasking,1
2024,2,Knowledge engineering,1
2024,2,Visualization,5
2024,2,Task analysis,14
2024,2,Acoustics,1
2024,2,Training,3
2024,2,Data models,2
2024,2,Transformers,6
2024,2,Physiology,5
2024,2,Annotations,3
2024,2,Face recognition,5
2024,2,Machine learning,2
2024,2,Cameras,1
2024,2,Anxiety disorders,1
2024,2,Stress,1
2024,2,Biomedical monitoring,1
2024,2,Human factors,1
2024,2,Perturbation methods,1
2024,2,Analytical models,2
2024,2,Fake news,1
2024,2,Semantics,1
2024,2,Predictive models,1
2024,2,Training data,1
2024,2,Bit error rate,1
2024,2,Heating systems,1
2024,2,Tagging,1
2024,2,Syntactics,2
2024,2,Pipelines,1
2024,2,Hidden Markov models,1
2024,2,Gaussian distribution,1
2024,2,Decoding,3
2024,2,Context modeling,2
2024,2,Oral communication,2
2024,2,Surveys,1
2024,2,Human-robot interaction,1
2024,2,Human computer interaction,1
2024,2,User experience,1
2024,2,Gold,2
2024,2,Shape,1
2024,2,Three-dimensional displays,2
2024,2,Solid modeling,2
2024,2,Knowledge graphs,1
2024,2,Portable computers,1
2024,2,Dynamics,1
2024,2,Faces,2
2024,2,Generative adversarial networks,1
2024,2,Databases,2
2024,2,Electrocardiography,1
2024,2,Electromyography,1
2024,2,Testing,1
2024,2,Sensors,1
2024,2,Monitoring,1
2024,2,Reliability,1
2024,2,Motion pictures,1
2024,2,Functional magnetic resonance imaging,1
2024,2,Whale optimization algorithms,1
2024,2,Whales,1
2024,2,Pain,1
2024,2,Noise measurement,1
2024,2,Computer vision,1
2024,2,Redundancy,1
2024,2,Affective computing,2
2024,2,Meetings,1
2024,2,Special issues and sections,1
2024,2,Regulation,1
2024,2,Bayes methods,2
2024,2,Metadata,1
2024,2,Particle measurements,1
2024,2,Atmospheric measurements,1
2024,2,Social robots,1
2024,2,Muscles,1
2024,2,Robots,1
2024,2,Videos,1
2024,2,Standards,1
2024,2,Correlation,1
2024,2,Uncertainty,1
2024,2,Speech recognition,1
2024,1,Physiology,2
2024,1,Self-supervised learning,1
2024,1,Feature extraction,8
2024,1,Emotion recognition,8
2024,1,Data models,8
2024,1,Task analysis,11
2024,1,Transformers,3
2024,1,Multitasking,1
2024,1,Face recognition,6
2024,1,Lips,2
2024,1,Faces,4
2024,1,Semantics,3
2024,1,Adversarial machine learning,1
2024,1,Data visualization,1
2024,1,Analytical models,3
2024,1,Computational modeling,6
2024,1,Gold,2
2024,1,Ethics,9
2024,1,Visualization,2
2024,1,Transfer learning,1
2024,1,Psychology,2
2024,1,Reliability,2
2024,1,Technological innovation,1
2024,1,Guidelines,1
2024,1,Usability,1
2024,1,Wearable devices,1
2024,1,Proposals,1
2024,1,Training,5
2024,1,Manuals,2
2024,1,Optical imaging,1
2024,1,Predictive models,2
2024,1,Deep learning,1
2024,1,Data mining,2
2024,1,Acoustics,2
2024,1,Context modeling,4
2024,1,Oral communication,1
2024,1,Monitoring,1
2024,1,Gender issues,1
2024,1,Europe,1
2024,1,Indexes,1
2024,1,Affective computing,5
2024,1,Cultural differences,1
2024,1,Urban areas,1
2024,1,Recording,1
2024,1,Databases,2
2024,1,Protocols,2
2024,1,Benchmark testing,1
2024,1,Robustness,1
2024,1,Videos,1
2024,1,Emotional responses,1
2024,1,Independent component analysis,1
2024,1,Brain modeling,2
2024,1,Electroencephalography,2
2024,1,Integrated circuits,1
2024,1,Modulation,1
2024,1,Functional near-infrared spectroscopy,1
2024,1,Crowdsourcing,1
2024,1,Media,2
2024,1,Annotations,2
2024,1,Pipelines,1
2024,1,Representation learning,1
2024,1,Sentiment analysis,3
2024,1,Correlation,1
2024,1,Interference,1
2024,1,Probabilistic logic,1
2024,1,Image recognition,1
2024,1,Uncertainty,1
2024,1,Wheels,1
2024,1,Image resolution,1
2024,1,Particle measurements,1
2024,1,Artificial intelligence,2
2024,1,Industries,1
2024,1,Video games,1
2024,1,Games,1
2024,1,Load modeling,1
2024,1,Diseases,1
2024,1,Employment,1
2024,1,Human factors,2
2024,1,Safety,1
2024,1,Resists,1
2024,1,Security,1
2024,1,Privacy,2
2024,1,Simulation,1
2024,1,Modeling,1
2024,1,Machine learning,1
2024,1,Special issues and sections,1
2024,1,Writing,1
2024,1,Education,1
2024,1,Software,1
2024,1,Libraries,1
2024,1,Facial muscles,1
2024,1,Mood,1
2024,1,Art,1
2024,1,Surveillance,1
2024,1,Convolution,1
2024,1,Speech processing,1
2024,1,Spectrogram,1
2024,1,Depression,1
2024,1,Buildings,1
2024,1,Syntactics,1
2024,1,Touch sensitive screens,1
2024,1,Portable computers,1
2024,1,Fans,1
2023,4,Sentiment analysis,8
2023,4,Tensors,1
2023,4,Feature extraction,23
2023,4,Transformers,12
2023,4,Information exchange,1
2023,4,Acoustics,2
2023,4,Depression,5
2023,4,Face recognition,13
2023,4,Wireless fidelity,1
2023,4,Emotion recognition,26
2023,4,Discrete wavelet transforms,1
2023,4,Sensors,4
2023,4,Decoding,1
2023,4,Physiology,8
2023,4,Labeling,3
2023,4,Data collection,3
2023,4,Training,14
2023,4,Electrocardiography,1
2023,4,Games,3
2023,4,Multitasking,2
2023,4,Support vector machines,3
2023,4,Task analysis,35
2023,4,Deep learning,4
2023,4,Target recognition,1
2023,4,Reliability,2
2023,4,Visualization,8
2023,4,Computer architecture,3
2023,4,Vehicles,1
2023,4,Accidents,1
2023,4,Anxiety disorders,2
2023,4,Data mining,3
2023,4,Media,1
2023,4,Computational modeling,8
2023,4,Cognition,2
2023,4,Affective computing,4
2023,4,Psychology,6
2023,4,Heart rate variability,2
2023,4,Faces,4
2023,4,Biomedical monitoring,3
2023,4,Videos,6
2023,4,Skin,3
2023,4,Observers,1
2023,4,Predictive models,5
2023,4,Appraisal,1
2023,4,Behavioral sciences,9
2023,4,Shape,1
2023,4,Speech recognition,4
2023,4,Focusing,1
2023,4,Lips,1
2023,4,Semantics,4
2023,4,Market research,1
2023,4,Artificial intelligence,1
2023,4,Chatbots,1
2023,4,Gold,3
2023,4,Analytical models,4
2023,4,Uncertainty,1
2023,4,Bayes methods,1
2023,4,COVID-19,1
2023,4,Principal component analysis,1
2023,4,Testing,2
2023,4,Pandemics,1
2023,4,Electrodes,2
2023,4,Urban areas,1
2023,4,Particle measurements,3
2023,4,Navigation,1
2023,4,Atmospheric measurements,3
2023,4,Neural networks,2
2023,4,Measurement,3
2023,4,Oral communication,4
2023,4,Noise measurement,4
2023,4,Australia,1
2023,4,Data models,5
2023,4,Convolutional neural networks,2
2023,4,Optimization,1
2023,4,Image classification,1
2023,4,Correlation,3
2023,4,Electroencephalography,4
2023,4,Fuses,1
2023,4,Monitoring,2
2023,4,Sensor systems,1
2023,4,Cameras,3
2023,4,Smart phones,1
2023,4,Buildings,1
2023,4,Image recognition,1
2023,4,Statistics,1
2023,4,Decision making,1
2023,4,Reinforcement learning,2
2023,4,Sociology,1
2023,4,Autism,1
2023,4,Variable speed drives,1
2023,4,Pediatrics,1
