Year,Keyword,Frequency,Ratio
2023,Sentiment analysis,30,1.7351
2023,Tensors,2,0.1157
2023,Feature extraction,102,5.8994
2023,Transformers,17,0.9832
2023,Information exchange,1,0.0578
2023,Acoustics,9,0.5205
2023,Depression,24,1.3881
2023,Face recognition,43,2.487
2023,Wireless fidelity,1,0.0578
2023,Emotion recognition,95,5.4945
2023,Discrete wavelet transforms,1,0.0578
2023,Sensors,9,0.5205
2023,Decoding,4,0.2313
2023,Physiology,35,2.0243
2023,Labeling,4,0.2313
2023,Data collection,4,0.2313
2023,Training,53,3.0654
2023,Electrocardiography,3,0.1735
2023,Games,14,0.8097
2023,Multitasking,6,0.347
2023,Support vector machines,9,0.5205
2023,Task analysis,117,6.7669
2023,Deep learning,14,0.8097
2023,Target recognition,3,0.1735
2023,Reliability,7,0.4049
2023,Visualization,32,1.8508
2023,Computer architecture,12,0.694
2023,Vehicles,2,0.1157
2023,Accidents,1,0.0578
2023,Anxiety disorders,5,0.2892
2023,Data mining,14,0.8097
2023,Media,4,0.2313
2023,Computational modeling,42,2.4291
2023,Cognition,4,0.2313
2023,Affective computing,17,0.9832
2023,Psychology,19,1.0989
2023,Heart rate variability,6,0.347
2023,Faces,18,1.0411
2023,Biomedical monitoring,7,0.4049
2023,Videos,19,1.0989
2023,Skin,7,0.4049
2023,Observers,4,0.2313
2023,Predictive models,19,1.0989
2023,Appraisal,5,0.2892
2023,Behavioral sciences,10,0.5784
2023,Shape,3,0.1735
2023,Speech recognition,21,1.2146
2023,Focusing,1,0.0578
2023,Lips,1,0.0578
2023,Semantics,19,1.0989
2023,Market research,2,0.1157
2023,Artificial intelligence,4,0.2313
2023,Chatbots,2,0.1157
2023,Gold,10,0.5784
2023,Analytical models,14,0.8097
2023,Uncertainty,6,0.347
2023,Bayes methods,2,0.1157
2023,COVID-19,1,0.0578
2023,Principal component analysis,2,0.1157
2023,Testing,5,0.2892
2023,Pandemics,1,0.0578
2023,Electrodes,9,0.5205
2023,Urban areas,2,0.1157
2023,Particle measurements,11,0.6362
2023,Navigation,1,0.0578
2023,Atmospheric measurements,10,0.5784
2023,Neural networks,7,0.4049
2023,Measurement,9,0.5205
2023,Oral communication,9,0.5205
2023,Noise measurement,5,0.2892
2023,Australia,4,0.2313
2023,Data models,17,0.9832
2023,Convolutional neural networks,18,1.0411
2023,Optimization,2,0.1157
2023,Image classification,1,0.0578
2023,Correlation,13,0.7519
2023,Electroencephalography,30,1.7351
2023,Fuses,2,0.1157
2023,Monitoring,5,0.2892
2023,Sensor systems,1,0.0578
2023,Cameras,6,0.347
2023,Smart phones,1,0.0578
2023,Buildings,1,0.0578
2023,Image recognition,6,0.347
2023,Statistics,4,0.2313
2023,Decision making,4,0.2313
2023,Reinforcement learning,6,0.347
2023,Sociology,4,0.2313
2023,Autism,4,0.2313
2023,Variable speed drives,2,0.1157
2023,Pediatrics,4,0.2313
2023,Magnetic resonance imaging,1,0.0578
2023,Linguistics,9,0.5205
2023,Adaptation models,14,0.8097
2023,Prototypes,3,0.1735
2023,Keyboards,2,0.1157
