Id,Label
1,Aust. J. Intell. Inf. Process. Syst.
2,Lang. Linguistics Compass
3,{IEEE} Trans. Emerg. Top. Comput. Intell.
4,{IEEE} Trans. Signal Process.
5,J. Phonetics
6,{IEEE} Trans. Mob. Comput.
7,{IEEE} {CAA} J. Autom. Sinica
8,{IEEE} Trans. Veh. Technol.
9,Math. Methods Oper. Res.
10,Dagstuhl Reports
11,Comput. Biol. Medicine
12,{ISPRS} Int. J. Geo Inf.
13,Complex.
14,Inf. Sci.
15,{IEEE} Trans. Learn. Technol.
16,Cogn. Comput.
17,Wirel. Commun. Mob. Comput.
18,{IEEE} Trans. Geosci. Remote. Sens.
19,Big Data Min. Anal.
20,{IEEE} Trans. Ind. Electron.
21,Sensors
22,{IEEE} Trans. Vis. Comput. Graph.
23,Int. J. Comput.
24,{MMI} Interakt.
25,Multim. Syst.
26,{EURASIP} J. Bioinform. Syst. Biol.
27,Future Internet
28,Pattern Recognit.
29,{IEEE} Trans. Robotics Autom.
30,Neural Comput.
31,Digit. Signal Process.
32,Appl. Intell.
33,Artif. Life Robotics
34,Entertain. Comput.
35,{BMC} Medical Informatics Decis. Mak.
36,J. Netw. Comput. Appl.
37,{IEEE} Trans. Neural Networks
38,{IEEE} J. Sel. Areas Commun.
39,Vis. Comput.
40,{EAI} Endorsed Trans. Collab. Comput.
41,J. Softw.
42,{IEEE} Trans. Biomed. Eng.
43,Robotics Auton. Syst.
44,Comput. Vis. Media
45,J. Assoc. Inf. Sci. Technol.
46,{IEEE} Trans. Intell. Veh.
47,{IEEE} Multim.
48,Neurocomputing
49,{IET} Biom.
50,{IEEE} Wirel. Commun.
51,Medical Biol. Eng. Comput.
52,Evol. Syst.
53,Auton. Agents Multi Agent Syst.
54,Appl. Math. Comput.
55,Lang. Resour. Evaluation
56,{EURASIP} J. Image Video Process.
57,{AI} Mag.
58,Inf. Technol. Manag.
59,NeuroImage
60,Comput. Graph.
61,Commun. {ACM}
62,{IBM} Syst. J.
63,Frontiers Virtual Real.
64,{AI} Commun.
65,it Inf. Technol.
66,Medical Image Anal.
67,J. Intell. Fuzzy Syst.
68,{IEEE} Trans. Big Data
69,Int. J. Distance Educ. Technol.
70,Inf.
71,J. Signal Process. Syst.
72,{BMC} Bioinform.
73,Int. J. Image Graph.
74,J. Vis. Commun. Image Represent.
75,{IEEE} Trans. Evol. Comput.
76,Knowl. Inf. Syst.
77,Proc. {ACM} Interact. Mob. Wearable Ubiquitous Technol.
78,User Model. User Adapt. Interact.
79,{IEEE} Trans. Comput. Intell. {AI} Games
80,Expert Syst. J. Knowl. Eng.
81,Pattern Recognit. Lett.
82,{IEEE} Trans. Image Process.
83,Proc. {ACM} Hum. Comput. Interact.
84,J. Control. Sci. Eng.
85,Neural Comput. Appl.
86,Int. J. Comput. Vis.
87,J. Vis. Lang. Comput.
88,Int. J. Pattern Recognit. Artif. Intell.
89,{IEEE} Access
90,Image Vis. Comput.
