Source,Target,Weight
353,82,5
353,228,10
353,180,7
353,254,3
353,137,2
353,260,2
152,353,3
353,90,5
353,28,3
353,253,7
238,353,10
353,349,7
353,133,1
353,124,6
228,82,9
82,180,9
254,82,5
137,82,2
260,82,3
152,82,5
90,82,8
28,82,5
82,253,7
238,82,9
349,82,5
82,133,3
124,82,6
228,180,17
254,228,8
228,137,4
260,228,4
152,228,7
90,228,17
28,228,11
228,253,16
238,228,29
349,228,14
228,133,7
228,124,15
254,180,7
137,180,2
260,180,4
152,180,6
90,180,14
28,180,10
253,180,11
238,180,17
349,180,10
133,180,6
124,180,11
254,137,2
260,254,4
152,254,4
90,254,7
254,28,8
254,253,5
238,254,8
254,349,4
254,133,5
254,124,7
260,137,2
152,137,2
90,137,2
28,137,2
137,253,2
238,137,4
349,137,2
137,133,1
137,124,3
152,260,4
90,260,4
260,28,4
260,253,3
238,260,4
260,349,2
260,133,3
260,124,4
152,90,7
152,28,4
152,253,5
238,152,7
152,349,4
152,133,3
152,124,5
90,28,9
90,253,11
238,90,17
90,349,8
90,133,5
90,124,9
28,253,8
238,28,11
28,349,5
28,133,7
28,124,8
238,253,16
349,253,9
133,253,5
124,253,7
238,349,14
238,133,7
238,124,15
349,133,3
349,124,9
124,133,6
135,276,4
276,180,6
276,138,3
48,276,6
238,276,7
239,276,3
276,331,4
283,276,4
330,276,1
333,276,2
56,276,1
291,276,2
14,276,3
152,276,3
276,253,5
254,276,5
21,276,3
204,276,1
205,276,3
117,276,3
260,276,3
119,276,3
28,276,7
310,276,4
74,276,4
31,276,3
276,124,6
81,276,5
276,82,2
86,276,4
276,167,3
276,320,2
359,276,5
270,276,3
90,276,5
228,276,7
276,133,5
95,276,1
135,180,5
135,138,4
48,135,5
238,135,6
239,135,3
135,331,3
135,283,4
330,135,1
333,135,1
56,135,2
291,135,1
14,135,3
152,135,1
135,253,5
254,135,4
21,135,1
204,135,1
205,135,3
117,135,2
260,135,1
135,119,2
28,135,5
310,135,4
74,135,3
31,135,2
135,124,5
81,135,5
135,82,3
86,135,3
135,167,2
135,320,3
359,135,4
270,135,3
90,135,5
135,228,6
135,133,4
95,135,1
138,180,5
48,180,9
239,180,4
331,180,3
283,180,11
330,180,1
333,180,2
56,180,2
291,180,3
14,180,3
21,180,5
204,180,1
205,180,4
117,180,7
119,180,5
310,180,8
74,180,3
31,180,2
81,180,10
86,180,7
180,167,7
180,320,3
359,180,7
270,180,4
95,180,1
48,138,5
238,138,5
239,138,3
331,138,2
283,138,4
330,138,1
333,138,1
56,138,2
291,138,1
14,138,2
152,138,2
253,138,5
254,138,4
21,138,2
204,138,1
205,138,3
117,138,2
260,138,2
119,138,3
28,138,4
310,138,3
74,138,2
31,138,1
124,138,5
81,138,5
82,138,4
86,138,4
138,167,3
138,320,2
359,138,3
270,138,3
90,138,5
228,138,5
133,138,2
95,138,1
238,48,10
239,48,4
48,331,4
48,283,5
330,48,1
333,48,2
48,56,2
48,291,2
14,48,4
152,48,3
48,253,8
254,48,6
48,21,3
48,204,1
205,48,4
48,117,4
260,48,3
48,119,4
48,28,8
48,310,4
74,48,4
31,48,3
48,124,8
48,81,7
48,82,5
86,48,5
48,167,4
48,320,3
48,359,6
270,48,4
90,48,7
48,228,10
48,133,5
48,95,1
238,239,4
238,331,4
238,283,16
330,238,1
238,333,2
238,56,2
238,291,3
238,14,4
238,21,5
238,204,1
205,238,4
238,117,9
238,119,6
238,310,14
238,74,4
238,31,3
238,81,11
238,86,7
238,167,8
238,320,4
238,359,12
238,270,4
238,95,1
239,331,3
239,283,2
330,239,1
333,239,1
239,56,1
239,291,1
14,239,3
152,239,1
239,253,4
254,239,3
239,21,1
239,204,1
205,239,4
239,117,3
260,239,1
239,119,1
239,28,4
239,310,3
74,239,2
31,239,2
239,124,4
239,81,3
239,82,2
86,239,2
239,167,1
239,320,2
239,359,4
270,239,3
90,239,3
239,228,4
239,133,3
239,95,1
283,331,2
330,331,1
333,331,1
56,331,1
291,331,1
14,331,3
152,331,1
331,253,3
254,331,3
21,331,1
204,331,1
205,331,3
117,331,3
260,331,1
119,331,1
28,331,4
310,331,3
74,331,3
31,331,3
124,331,4
81,331,2
82,331,1
86,331,2
331,167,1
331,320,2
359,331,4
270,331,2
90,331,2
228,331,4
331,133,3
95,331,1
330,283,1
333,283,1
56,283,2
291,283,2
14,283,1
152,283,4
283,253,9
254,283,4
21,283,4
204,283,1
205,283,2
117,283,7
260,283,2
283,119,5
28,283,6
310,283,10
74,283,2
31,283,1
283,124,7
81,283,8
283,82,6
86,283,6
283,167,5
283,320,2
359,283,7
270,283,2
90,283,11
283,228,16
283,133,2
95,283,1
330,333,1
330,56,1
330,291,1
330,14,1
330,152,1
330,253,1
330,254,1
330,21,1
330,204,1
205,330,1
330,117,1
330,260,1
330,119,1
330,28,1
330,310,1
330,74,1
330,31,1
330,124,1
330,81,1
330,82,1
330,86,1
330,167,1
330,320,1
330,359,1
330,270,1
330,90,1
330,228,1
330,133,1
330,95,1
333,56,1
333,291,2
333,14,1
333,152,2
333,253,1
333,254,2
333,21,2
333,204,1
205,333,1
333,117,1
333,260,2
333,119,2
333,28,2
333,310,1
333,74,2
333,31,1
333,124,2
333,81,2
333,82,1
333,86,2
333,167,2
333,320,1
333,359,2
333,270,2
333,90,2
333,228,2
333,133,2
333,95,1
291,56,1
14,56,1
152,56,1
56,253,2
254,56,1
21,56,1
204,56,1
205,56,1
56,117,1
260,56,1
56,119,2
28,56,1
310,56,2
74,56,1
31,56,1
56,124,2
81,56,2
56,82,2
86,56,2
56,167,2
56,320,1
56,359,1
270,56,1
90,56,2
56,228,2
56,133,1
95,56,1
14,291,1
152,291,3
291,253,1
254,291,2
291,21,2
291,204,1
205,291,1
291,117,1
260,291,2
291,119,2
291,28,2
291,310,1
74,291,2
31,291,1
291,124,3
291,81,2
291,82,2
86,291,2
291,167,3
291,320,1
291,359,2
270,291,2
90,291,3
291,228,3
291,133,2
291,95,1
152,14,1
14,253,3
14,254,3
14,21,1
14,204,1
205,14,3
14,117,2
14,260,1
14,119,1
14,28,4
14,310,2
14,74,2
31,14,3
14,124,4
14,81,2
14,82,2
14,86,1
14,167,1
14,320,3
14,359,4
270,14,2
90,14,2
14,228,4
14,133,4
14,95,1
152,21,3
152,204,1
205,152,1
152,117,2
152,119,4
152,310,1
152,74,2
152,31,1
152,81,4
152,86,4
152,167,5
152,320,1
152,359,3
152,270,2
152,95,1
21,253,2
204,253,1
205,253,4
117,253,5
119,253,4
310,253,7
74,253,2
31,253,2
81,253,8
86,253,5
253,167,4
253,320,2
359,253,7
270,253,3
95,253,1
254,21,4
254,204,1
205,254,3
254,117,3
254,119,3
254,310,3
74,254,4
31,254,2
254,81,5
86,254,5
254,167,3
254,320,3
254,359,6
270,254,4
254,95,1
21,204,1
205,21,1
21,117,3
260,21,3
21,119,3
28,21,4
310,21,3
74,21,2
31,21,1
21,124,3
81,21,3
21,82,3
86,21,4
21,167,3
21,320,1
21,359,3
270,21,2
90,21,5
21,228,5
21,133,2
21,95,1
205,204,1
204,117,1
260,204,1
204,119,1
28,204,1
310,204,1
74,204,1
31,204,1
204,124,1
81,204,1
204,82,1
86,204,1
