Keyword1,Keyword2,Weight
Blogs,Convolutional neural networks,2
Blogs,Data mining,1
Blogs,Deep learning,1
Blogs,Feature extraction,5
Blogs,Sentiment analysis,2
Blogs,Social networking (online),7
Convolutional neural networks,Data mining,4
Convolutional neural networks,Deep learning,2
Convolutional neural networks,Feature extraction,19
Convolutional neural networks,Sentiment analysis,5
Convolutional neural networks,Social networking (online),3
Data mining,Deep learning,2
Data mining,Feature extraction,22
Data mining,Sentiment analysis,6
Data mining,Social networking (online),2
Deep learning,Feature extraction,17
Deep learning,Sentiment analysis,6
Deep learning,Social networking (online),2
Feature extraction,Sentiment analysis,27
Feature extraction,Social networking (online),7
Sentiment analysis,Social networking (online),8
Adaptation models,Brain modeling,4
Adaptation models,Computational modeling,13
Adaptation models,Electroencephalography,3
Adaptation models,Emotion recognition,14
Adaptation models,Labeling,1
Adaptation models,Transfer learning,1
Brain modeling,Computational modeling,14
Brain modeling,Electroencephalography,49
Brain modeling,Emotion recognition,46
Brain modeling,Labeling,1
Brain modeling,Transfer learning,2
Computational modeling,Electroencephalography,8
Computational modeling,Emotion recognition,55
Computational modeling,Labeling,5
Computational modeling,Transfer learning,2
Electroencephalography,Emotion recognition,53
Electroencephalography,Labeling,1
Electroencephalography,Transfer learning,2
Emotion recognition,Labeling,11
Emotion recognition,Transfer learning,7
Labeling,Transfer learning,1
Artificial intelligence,Automobiles,1
Artificial intelligence,Computational modeling,7
Artificial intelligence,Psychology,4
Artificial intelligence,Roads,1
Artificial intelligence,Signal detection,1
Artificial intelligence,Vehicles,1
Automobiles,Computational modeling,1
Automobiles,Psychology,1
Automobiles,Roads,1
Automobiles,Signal detection,1
Automobiles,Vehicles,2
Computational modeling,Psychology,30
Computational modeling,Roads,1
Computational modeling,Signal detection,1
Computational modeling,Vehicles,1
Psychology,Roads,1
Psychology,Signal detection,1
Psychology,Vehicles,1
Roads,Signal detection,1
Roads,Vehicles,2
Signal detection,Vehicles,1
Acoustics,Feature extraction,26
Acoustics,Knowledge engineering,1
Acoustics,Multitasking,1
Acoustics,Sentiment analysis,3
Acoustics,Task analysis,10
Acoustics,Visualization,11
Feature extraction,Knowledge engineering,4
Feature extraction,Multitasking,6
Feature extraction,Task analysis,79
Feature extraction,Visualization,59
Knowledge engineering,Multitasking,1
Knowledge engineering,Sentiment analysis,2
Knowledge engineering,Task analysis,4
Knowledge engineering,Visualization,2
Multitasking,Sentiment analysis,2
Multitasking,Task analysis,7
Multitasking,Visualization,1
Sentiment analysis,Task analysis,37
Sentiment analysis,Visualization,8
Task analysis,Visualization,28
Data mining,Data models,2
Data mining,Emotion recognition,13
Data mining,Task analysis,16
Data mining,Training,4
Data mining,Transformers,3
Data models,Emotion recognition,26
Data models,Feature extraction,12
Data models,Task analysis,13
Data models,Training,18
Data models,Transformers,3
Emotion recognition,Feature extraction,129
Emotion recognition,Task analysis,69
Emotion recognition,Training,50
Emotion recognition,Transformers,12
Feature extraction,Training,46
Feature extraction,Transformers,21
Task analysis,Training,55
Task analysis,Transformers,19
Training,Transformers,6
Annotations,Cameras,3
Annotations,Face recognition,6
Annotations,Labeling,1
Annotations,Machine learning,2
Annotations,Physiology,3
Annotations,Task analysis,14
Cameras,Face recognition,7
Cameras,Labeling,1
Cameras,Machine learning,2
Cameras,Physiology,3
Cameras,Task analysis,3
Face recognition,Labeling,4
Face recognition,Machine learning,8
Face recognition,Physiology,6
Face recognition,Task analysis,38
Labeling,Machine learning,2
Labeling,Physiology,3
Labeling,Task analysis,8
Machine learning,Physiology,4
Machine learning,Task analysis,8
Physiology,Task analysis,22
Anxiety disorders,Biomedical monitoring,1
Anxiety disorders,Brain modeling,1
Anxiety disorders,Feature extraction,2
Anxiety disorders,Human factors,1
Anxiety disorders,Physiology,4
Anxiety disorders,Stress,2
Biomedical monitoring,Brain modeling,4
Biomedical monitoring,Feature extraction,5
Biomedical monitoring,Human factors,1
Biomedical monitoring,Physiology,6
Biomedical monitoring,Stress,4
Brain modeling,Feature extraction,37
Brain modeling,Human factors,1
Brain modeling,Physiology,15
Brain modeling,Stress,1
Feature extraction,Human factors,5
Feature extraction,Physiology,35
Feature extraction,Stress,7
Human factors,Physiology,4
Human factors,Stress,2
Physiology,Stress,18
Analytical models,Fake news,1
Analytical models,Feature extraction,16
Analytical models,Perturbation methods,1
Analytical models,Semantics,5
Analytical models,Sentiment analysis,18
Analytical models,Task analysis,15
Fake news,Feature extraction,1
Fake news,Perturbation methods,1
Fake news,Semantics,1
Fake news,Sentiment analysis,1
Fake news,Task analysis,1
Feature extraction,Perturbation methods,1
Feature extraction,Semantics,24
Perturbation methods,Semantics,1
Perturbation methods,Sentiment analysis,1
Perturbation methods,Task analysis,1
Semantics,Sentiment analysis,14
Semantics,Task analysis,21
Bit error rate,Emotion recognition,1
Bit error rate,Predictive models,1
Bit error rate,Task analysis,4
Bit error rate,Training data,1
Bit error rate,Transfer learning,1
Bit error rate,Transformers,3
Emotion recognition,Predictive models,17
Emotion recognition,Training data,10
Predictive models,Task analysis,18
Predictive models,Training data,3
Predictive models,Transfer learning,1
Predictive models,Transformers,1
Task analysis,Training data,6
Task analysis,Transfer learning,6
Training data,Transfer learning,2
Training data,Transformers,1
Transfer learning,Transformers,3
Brain modeling,Convolutional neural networks,5
Brain modeling,Heating systems,1
Convolutional neural networks,Electroencephalography,7
Convolutional neural networks,Emotion recognition,12
Convolutional neural networks,Heating systems,1
Convolutional neural networks,Physiology,2
Electroencephalography,Feature extraction,56
Electroencephalography,Heating systems,1
Electroencephalography,Physiology,24
Emotion recognition,Heating systems,1
Emotion recognition,Physiology,41
Feature extraction,Heating systems,2
Heating systems,Physiology,1
Data mining,Pipelines,2
Data mining,Syntactics,3
Data mining,Tagging,2
Pipelines,Sentiment analysis,1
Pipelines,Syntactics,1
Pipelines,Tagging,1
Pipelines,Task analysis,3
Pipelines,Transformers,1
Sentiment analysis,Syntactics,9
Sentiment analysis,Tagging,1
Sentiment analysis,Transformers,10
Syntactics,Tagging,1
Syntactics,Task analysis,10
Syntactics,Transformers,2
Tagging,Task analysis,4
Tagging,Transformers,1
Context modeling,Decoding,2
Context modeling,Emotion recognition,10
Context modeling,Gaussian distribution,1
Context modeling,Hidden Markov models,3
Context modeling,Oral communication,5
Context modeling,Task analysis,14
Decoding,Emotion recognition,6
Decoding,Gaussian distribution,1
Decoding,Hidden Markov models,1
Decoding,Oral communication,1
Decoding,Task analysis,7
Emotion recognition,Gaussian distribution,2
Emotion recognition,Hidden Markov models,19
Emotion recognition,Oral communication,10
Gaussian distribution,Hidden Markov models,1
Gaussian distribution,Oral communication,1
Gaussian distribution,Task analysis,2
Hidden Markov models,Oral communication,1
Hidden Markov models,Task analysis,5
Oral communication,Task analysis,7
Computational modeling,Context modeling,7
Computational modeling,Human computer interaction,4
Computational modeling,Human-robot interaction,2
Computational modeling,Surveys,1
Computational modeling,Task analysis,37
Computational modeling,User experience,1
Context modeling,Human computer interaction,1
Context modeling,Human-robot interaction,1
Context modeling,Surveys,1
Context modeling,User experience,1
Human computer interaction,Human-robot interaction,1
Human computer interaction,Surveys,1
Human computer interaction,Task analysis,1
Human computer interaction,User experience,1
Human-robot interaction,Surveys,1
Human-robot interaction,Task analysis,1
Human-robot interaction,User experience,1
Surveys,Task analysis,1
Surveys,User experience,1
Task analysis,User experience,2
Computational modeling,Face recognition,20
Computational modeling,Gold,5
Computational modeling,Shape,3
Computational modeling,Solid modeling,4
Computational modeling,Three-dimensional displays,3
Face recognition,Gold,14
Face recognition,Shape,5
Face recognition,Solid modeling,3
Face recognition,Three-dimensional displays,16
Gold,Shape,2
Gold,Solid modeling,1
Gold,Task analysis,10
Gold,Three-dimensional displays,2
Shape,Solid modeling,1
Shape,Task analysis,6
Shape,Three-dimensional displays,1
Solid modeling,Task analysis,5
Solid modeling,Three-dimensional displays,5
Task analysis,Three-dimensional displays,6
Adaptation models,Feature extraction,12
Adaptation models,Knowledge graphs,1
Adaptation models,Portable computers,2
Adaptation models,Sentiment analysis,4
Adaptation models,Syntactics,1
Adaptation models,Task analysis,13
Feature extraction,Knowledge graphs,1
Feature extraction,Portable computers,3
Feature extraction,Syntactics,5
Knowledge graphs,Portable computers,1
Knowledge graphs,Sentiment analysis,1
Knowledge graphs,Syntactics,1
Knowledge graphs,Task analysis,1
Portable computers,Sentiment analysis,3
Portable computers,Syntactics,1
Portable computers,Task analysis,4
Decoding,Dynamics,1
Decoding,Faces,1
Decoding,Generative adversarial networks,1
Decoding,Solid modeling,1
Decoding,Three-dimensional displays,1
Dynamics,Faces,1
Dynamics,Generative adversarial networks,1
Dynamics,Solid modeling,1
Dynamics,Task analysis,1
Dynamics,Three-dimensional displays,1
Faces,Generative adversarial networks,5
Faces,Solid modeling,2
Faces,Task analysis,12
Faces,Three-dimensional displays,4
Generative adversarial networks,Solid modeling,1
Generative adversarial networks,Task analysis,5
Generative adversarial networks,Three-dimensional displays,1
Databases,Electrocardiography,4
Databases,Electroencephalography,11
Databases,Electromyography,3
Databases,Emotion recognition,46
Databases,Feature extraction,51
Databases,Physiology,17
Electrocardiography,Electroencephalography,5
Electrocardiography,Electromyography,4
Electrocardiography,Emotion recognition,12
Electrocardiography,Feature extraction,9
Electrocardiography,Physiology,13
Electroencephalography,Electromyography,4
Electromyography,Emotion recognition,6
Electromyography,Feature extraction,6
Electromyography,Physiology,7
Brain modeling,Data models,8
Brain modeling,Sensors,3
Brain modeling,Testing,2
Brain modeling,Visualization,5
Computational modeling,Data models,31
Computational modeling,Sensors,5
Computational modeling,Testing,2
Computational modeling,Visualization,19
Data models,Sensors,2
Data models,Testing,3
Data models,Visualization,2
Emotion recognition,Sensors,14
Emotion recognition,Testing,7
Emotion recognition,Visualization,31
Sensors,Testing,1
Sensors,Visualization,4
Testing,Visualization,1
Data mining,Machine learning,3
Data mining,Monitoring,2
Data mining,Motion pictures,1
Data mining,Reliability,1
Data mining,Visualization,7
Feature extraction,Machine learning,14
Feature extraction,Monitoring,5
Feature extraction,Motion pictures,9
Feature extraction,Reliability,8
Machine learning,Monitoring,2
Machine learning,Motion pictures,2
Machine learning,Reliability,3
Machine learning,Visualization,8
Monitoring,Motion pictures,2
Monitoring,Reliability,1
Monitoring,Visualization,6
Motion pictures,Reliability,1
Motion pictures,Visualization,3
Reliability,Visualization,3
Brain modeling,Decoding,2
Brain modeling,Functional magnetic resonance imaging,1
Brain modeling,Pain,1
Brain modeling,Whale optimization algorithms,1
Brain modeling,Whales,1
Decoding,Feature extraction,5
Decoding,Functional magnetic resonance imaging,1
Decoding,Pain,1
Decoding,Whale optimization algorithms,1
Decoding,Whales,1
Feature extraction,Functional magnetic resonance imaging,2
Feature extraction,Pain,8
Feature extraction,Whale optimization algorithms,1
Feature extraction,Whales,1
Functional magnetic resonance imaging,Pain,1
Functional magnetic resonance imaging,Whale optimization algorithms,1
Functional magnetic resonance imaging,Whales,1
Pain,Whale optimization algorithms,1
Pain,Whales,1
Whale optimization algorithms,Whales,1
Annotations,Computer vision,1
Annotations,Feature extraction,7
Annotations,Noise measurement,3
Annotations,Transformers,1
Annotations,Visualization,4
Computer vision,Face recognition,8
Computer vision,Feature extraction,7
Computer vision,Noise measurement,1
Computer vision,Transformers,1
Computer vision,Visualization,5
Face recognition,Feature extraction,81
Face recognition,Noise measurement,4
Face recognition,Transformers,7
Face recognition,Visualization,19
Feature extraction,Noise measurement,4
Noise measurement,Transformers,2
Noise measurement,Visualization,1
Transformers,Visualization,7
Analytical models,Artificial intelligence,2
Analytical models,Training,5
Analytical models,Transformers,3
Artificial intelligence,Feature extraction,2
Artificial intelligence,Sentiment analysis,4
Artificial intelligence,Task analysis,4
Artificial intelligence,Training,1
Artificial intelligence,Transformers,2
Sentiment analysis,Training,8
Databases,Face recognition,34
Databases,Gold,9
Databases,Redundancy,1
Databases,Task analysis,19
Databases,Transformers,1
Face recognition,Redundancy,1
Feature extraction,Gold,12
Feature extraction,Redundancy,2
Gold,Redundancy,1
Gold,Transformers,1
Redundancy,Task analysis,2
Redundancy,Transformers,1
Affective computing,Meetings,2
Affective computing,Special issues and sections,7
Meetings,Special issues and sections,2
Affective computing,Bayes methods,1
Affective computing,Computational modeling,21
Affective computing,Emotion recognition,26
Affective computing,Physiology,6
Affective computing,Psychology,12
Affective computing,Regulation,1
Bayes methods,Computational modeling,4
Bayes methods,Emotion recognition,4
Bayes methods,Physiology,2
Bayes methods,Psychology,1
Bayes methods,Regulation,1
Computational modeling,Physiology,13
Computational modeling,Regulation,2
Emotion recognition,Psychology,18
Emotion recognition,Regulation,2
Physiology,Psychology,17
Physiology,Regulation,2
Psychology,Regulation,2
Atmospheric measurements,Emotion recognition,3
Atmospheric measurements,Metadata,1
Atmospheric measurements,Oral communication,3
Atmospheric measurements,Particle measurements,29
Atmospheric measurements,Task analysis,8
Atmospheric measurements,Training,2
Emotion recognition,Metadata,1
Emotion recognition,Particle measurements,3
Metadata,Oral communication,1
Metadata,Particle measurements,1
Metadata,Task analysis,1
Metadata,Training,1
Oral communication,Particle measurements,3
Oral communication,Training,2
Particle measurements,Task analysis,8
Particle measurements,Training,2
Face recognition,Faces,16
Face recognition,Muscles,6
Face recognition,Robots,2
Face recognition,Social robots,1
Face recognition,Videos,23
Faces,Muscles,1
Faces,Robots,1
Faces,Social robots,1
Faces,Videos,4
Faces,Visualization,4
Muscles,Robots,1
Muscles,Social robots,1
Muscles,Videos,1
Muscles,Visualization,1
Robots,Social robots,3
Robots,Videos,3
Robots,Visualization,4
Social robots,Videos,1
Social robots,Visualization,1
Videos,Visualization,15
Annotations,Bayes methods,1
Annotations,Correlation,2
Annotations,Emotion recognition,8
Annotations,Speech recognition,1
Annotations,Standards,1
Annotations,Uncertainty,2
Bayes methods,Correlation,2
Bayes methods,Speech recognition,2
Bayes methods,Standards,1
Bayes methods,Uncertainty,3
Correlation,Emotion recognition,10
Correlation,Speech recognition,5
Correlation,Standards,1
Correlation,Uncertainty,2
Emotion recognition,Speech recognition,59
Emotion recognition,Standards,5
Emotion recognition,Uncertainty,4
Speech recognition,Standards,1
Speech recognition,Uncertainty,1
Standards,Uncertainty,1
Data models,Physiology,3
Data models,Self-supervised learning,1
Emotion recognition,Self-supervised learning,1
Feature extraction,Self-supervised learning,1
Physiology,Self-supervised learning,1
Physiology,Transformers,2
Self-supervised learning,Task analysis,1
