id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
1	Sentiment analysis	0	0	1	0	0	70
2	Social networking (online)	0	0	1	0	0	21
3	Data mining	0	0	1	0	0	32
4	Blogs	0	0	1	0	0	10
5	Feature extraction	0	0	1	0	0	347
6	Deep learning	0	0	1	0	0	36
7	Convolutional neural networks	0	0	1	0	0	29
8	Computational modeling	0	0	1	0	0	174
9	Labeling	0	0	1	0	0	19
10	Adaptation models	0	0	1	0	0	33
11	Brain modeling	0	0	1	0	0	65
12	Electroencephalography	0	0	1	0	0	100
13	Transfer learning	0	0	1	0	0	11
14	Emotion recognition	0	0	1	0	0	317
15	Vehicles	0	0	1	0	0	6
16	Artificial intelligence	0	0	1	0	0	15
17	Roads	0	0	1	0	0	2
18	Signal detection	0	0	1	0	0	1
19	Automobiles	0	0	1	0	0	3
20	Psychology	0	0	1	0	0	97
21	Multitasking	0	0	1	0	0	9
22	Knowledge engineering	0	0	1	0	0	7
23	Visualization	0	0	1	0	0	114
24	Task analysis	0	0	1	0	0	221
25	Acoustics	0	0	1	0	0	48
26	Training	0	0	1	0	0	133
27	Data models	0	0	1	0	0	64
28	Transformers	0	0	1	0	0	30
29	Physiology	0	0	1	0	0	113
30	Annotations	0	0	1	0	0	29
31	Face recognition	0	0	1	0	0	163
32	Machine learning	0	0	1	0	0	39
33	Cameras	0	0	1	0	0	28
34	Anxiety disorders	0	0	1	0	0	7
35	Stress	0	0	1	0	0	37
36	Biomedical monitoring	0	0	1	0	0	28
37	Human factors	0	0	1	0	0	22
38	Perturbation methods	0	0	1	0	0	1
39	Analytical models	0	0	1	0	0	43
40	Fake news	0	0	1	0	0	1
41	Semantics	0	0	1	0	0	62
42	Predictive models	0	0	1	0	0	69
43	Training data	0	0	1	0	0	29
44	Bit error rate	0	0	1	0	0	5
45	Heating systems	0	0	1	0	0	4
46	Tagging	0	0	1	0	0	13
47	Syntactics	0	0	1	0	0	15
48	Pipelines	0	0	1	0	0	4
49	Hidden Markov models	0	0	1	0	0	40
